CN,PLT_CN,INVYR,STATECD,COUNTYCD,PLOT,SUBP,TRANSECT,CWDID,MEASYEAR,CONDID,SLOPDIST,HORIZ_DIST,SPCD,DECAYCD,TRANSDIA,SMALLDIA,LARGEDIA,LENGTH,HOLLOWCD,CWDHSTCD,VOLCF,DRYBIO,CARBON,COVER_PCT,LPA_UNADJ,LPA_PLOT,LPA_COND,LPA_UNADJ_RGN,LPA_PLOT_RGN,LPA_COND_RGN,COVER_PCT_RGN,CHARRED_CD,ORNTCD_PNWRS,CREATED_BY,CREATED_DATE,CREATED_IN_INSTANCE,MODIFIED_BY,MODIFIED_DATE,MODIFIED_IN_INSTANCE,CWD_SAMPLE_METHOD,HOLLOW_DIA,HORIZ_DIST_CD,INCLINATION,LARGE_END_DIA_CLASS,LENGTH_CD,VOLCF_AC_UNADJ,VOLCF_AC_PLOT,VOLCF_AC_COND,DRYBIO_AC_UNADJ,DRYBIO_AC_PLOT,DRYBIO_AC_COND,CARBON_AC_UNADJ,CARBON_AC_PLOT,CARBON_AC_COND
76458614010538,52866061010538,2001,23,3,60,1,150,1.0,2001,1,0.5,0.5,12.0,2,5,4,6,13,N,1,1.8435083333333333,37.9615236,19.7779537956,0.6817708333333333,27.41348076923077,27.41348076923077,54.82696153846154,,,,,,,NIMS,2007-11-19 11:54:38,10661,FSTROFFE,2022-04-18 09:41:25,290487,9,,,,,,50.53698024375,50.53698024375,101.0739604875,1040.6574971793,1040.6574971793,2081.3149943586,542.1825560304153,542.1825560304153,1084.3651120608306
76458615010538,52866061010538,2001,23,3,60,1,150,2.0,2001,1,6.0,6.0,12.0,2,4,3,5,21,N,1,1.9471375,40.0954554,20.8897322634,0.5454166666666667,16.97025,16.97025,33.9405,,,,,,,NIMS,2007-11-19 11:54:38,10661,FSTROFFE,2022-04-18 09:41:25,290487,9,,,,,,33.043410159375,33.043410159375,66.08682031875,680.42990200185,680.42990200185,1360.8598040037,354.50397894296384,354.50397894296384,709.0079578859277
76458616010538,52866061010538,2001,23,3,60,1,150,3.0,2001,1,23.6,23.6,97.0,2,3,3,4,15,N,1,1.02265625,20.258313075,10.554581112075,0.47723958333333333,23.75835,23.75835,47.5167,,,,,,,NIMS,2007-11-19 11:54:38,10661,FSTROFFE,2022-04-18 09:41:25,290487,9,,,,,,24.2966251171875,24.2966251171875,48.593250234375,481.30409244542625,481.30409244542625,962.6081848908525,250.75943216406708,250.75943216406708,501.51886432813416
76458627010538,52866061010538,2001,23,3,60,2,150,1.0,2001,1,7.4,7.4,97.0,3,5,3,5,9,N,1,0.8344875,16.0298506368,8.3515521817728,0.5454166666666667,39.59725,39.59725,79.1945,,,,,,,NIMS,2007-11-19 11:54:38,10661,FSTROFFE,2022-04-18 09:41:25,290487,9,,,,,,33.043410159375,33.043410159375,66.08682031875,634.7380031280288,634.7380031280288,1269.4760062560576,330.698499629703,330.698499629703,661.396999259406
76458628010538,52866061010538,2001,23,3,60,2,150,2.0,2001,1,9.8,9.8,12.0,3,3,3,3,5,N,1,0.2454375,4.184752572,2.180256090012,0.4090625,71.27505,71.27505,142.5501,,,,,,,NIMS,2007-11-19 11:54:38,10661,FSTROFFE,2022-04-18 09:41:25,290487,9,,,,,,17.493570084375,17.493570084375,34.98714016875,298.2684488069286,298.2684488069286,596.5368976138571,155.3978618284098,155.3978618284098,310.7957236568196
76458629010538,52866061010538,2001,23,3,60,2,150,3.0,2001,1,10.7,10.7,241.0,2,11,3,15,46,N,1,29.354325,446.204526768,232.472558446128,1.2271875,7.747288043478261,7.747288043478261,15.494576086956522,,,,,,,NIMS,2007-11-19 11:54:38,10661,FSTROFFE,2022-04-18 09:41:25,290487,9,,,,,,227.416411096875,227.416411096875,454.83282219375,3456.874995175602,3456.874995175602,6913.749990351204,1801.0318724864887,1801.0318724864887,3602.0637449729775
76458630010538,52866061010538,2001,23,3,60,2,150,4.0,2001,1,19.0,19.0,375.0,3,20,18,18,10,Y,1,17.6715,387.974530944,190.495494693504,2.454375,35.637525,35.637525,71.27505,,,,,,,NIMS,2007-11-19 11:54:38,10661,FSTROFFE,2022-04-18 09:41:25,290487,9,,,,,,629.7685230375,629.7685230375,1259.537046075,13826.452045880074,13826.452045880074,27652.90409176015,6788.787954527116,6788.787954527116,13577.575909054232
76458620010538,52866061010538,2001,23,3,60,1,270,1.0,2001,1,0.5,0.5,97.0,2,5,4,6,11,N,1,1.5598916666666667,30.9006802104,16.0992543896184,0.6817708333333333,32.39775,32.39775,64.7955,,,,,,,NIMS,2007-11-19 11:54:38,10661,FSTROFFE,2022-04-18 09:41:25,290487,9,,,,,,50.53698024375,50.53698024375,101.0739604875,1001.1125122864865,1001.1125122864865,2002.225024572973,521.5796189012596,521.5796189012596,1043.159237802519
76458621010538,52866061010538,2001,23,3,60,1,270,2.0,2001,1,13.7,13.7,12.0,2,6,3,8,25,N,1,4.976927083333333,102.4848825,53.3946237825,0.7499479166666667,14.25501,14.25501,28.51002,,,,,,,NIMS,2007-11-19 11:54:38,10661,FSTROFFE,2022-04-18 09:41:25,290487,9,,,,,,70.9461453421875,70.9461453421875,141.892290684375,1460.923024886325,1460.923024886325,2921.84604977265,761.1408959657754,761.1408959657754,1522.2817919315507
76458640010538,52866061010538,2001,23,3,60,4,270,1.0,2001,2,20.7,20.7,12.0,2,4,3,7,16,N,1,2.5307333333333335,52.1128608,27.1508004768,0.6817708333333333,22.273453125,22.273453125,44.54690625,,,,,,,NIMS,2007-11-19 11:54:38,10661,FSTROFFE,2022-04-18 09:41:25,290487,9,,,,,,56.368170271875,56.368170271875,112.73634054375,1160.73336223845,1160.73336223845,2321.4667244769,604.7420817262324,604.7420817262324,1209.4841634524648
