CN,PLT_CN,INVYR,STATECD,COUNTYCD,PLOT,SUBP,PILE,MEASYEAR,CONDID,SHAPECD,AZIMUTH,DENSITY,HEIGHT1,WIDTH1,LENGTH1,HEIGHT2,WIDTH2,LENGTH2,VOLCF,DRYBIO,CARBON,PPA_UNADJ,PPA_PLOT,PPA_COND,CREATED_BY,CREATED_DATE,CREATED_IN_INSTANCE,MODIFIED_BY,MODIFIED_IN_INSTANCE,MODIFIED_DATE,COMP_HT,DECAYCD,HORIZ_BEGNDIST,HORIZ_ENDDIST,PILE_SAMPLE_METHOD,SPCD,TRANSECT
76443609010538,52887146010538,2001,23,17,1630,4,1.0,2001,1,2,150,50,4,10,15,,,,235.62,4957.332264371383,2508.4101257719194,6.0180462857,6.0180462857,6.0180462857,NIMS,2007-11-19 11:54:39,10661,FSTROFFE,290487,2022-04-18 09:41:31,,,,,2,,
76443616010538,52922003010538,2001,23,21,123,4,1.0,2001,1,4,270,50,6,21,17,3,21,17,803.25,12965.054210181206,6560.31743035169,6.0180462857,6.0180462857,6.0180462857,NIMS,2007-11-19 11:54:40,10661,FSTROFFE,290487,2022-04-18 09:41:31,,,,,2,,
76443615010538,52924806010538,2001,23,25,1207,1,1.0,2001,1,2,90,50,4,30,30,,,,1413.72,27788.08032,14060.76864192,6.0180462857,6.0180462857,8.024061714266667,NIMS,2007-11-19 11:54:40,10661,FSTROFFE,290487,2022-04-18 09:41:31,,,,,2,,
76443614010538,52924806010538,2001,23,25,1207,2,1.0,2001,1,2,150,50,3,65,99,,,,7581.0735,149013.580716,75400.871842296,6.0180462857,6.0180462857,8.024061714266667,NIMS,2007-11-19 11:54:40,10661,FSTROFFE,290487,2022-04-18 09:41:31,,,,,2,,
76443613010538,52924806010538,2001,23,25,1207,2,2.0,2001,1,2,30,50,3,65,99,,,,7581.0735,149013.580716,75400.871842296,6.0180462857,6.0180462857,8.024061714266667,NIMS,2007-11-19 11:54:40,10661,FSTROFFE,290487,2022-04-18 09:41:31,,,,,2,,
76443612010538,52924806010538,2001,23,25,1207,3,1.0,2001,1,2,150,50,3,60,70,,,,4948.02,97258.28112,49212.69024672,6.0180462857,6.0180462857,8.024061714266667,NIMS,2007-11-19 11:54:40,10661,FSTROFFE,290487,2022-04-18 09:41:31,,,,,2,,
76443611010538,52924806010538,2001,23,25,1207,3,2.0,2001,1,2,30,50,4,23,60,,,,2167.704,42608.389824,21559.845250944,6.0180462857,6.0180462857,8.024061714266667,NIMS,2007-11-19 11:54:40,10661,FSTROFFE,290487,2022-04-18 09:41:31,,,,,2,,
76443610010538,52924806010538,2001,23,25,1207,4,1.0,2001,2,2,270,50,3,22,40,,,,1036.728,24430.207135154138,12361.684810387993,6.0180462857,6.0180462857,24.0721851428,NIMS,2007-11-19 11:54:40,10661,FSTROFFE,290487,2022-04-18 09:41:31,,,,,2,,
76443735010538,53007457010538,2002,23,7,2506,2,1.0,2002,1,2,116,10,4,10,15,,,,47.124,756.6236497893129,382.85156679339235,6.0180462857,6.0180462857,6.0180462857,NIMS,2007-11-19 11:54:53,10661,FSTROFFE,290487,2022-04-18 09:41:31,,,,,2,,
76443736010538,53007457010538,2002,23,7,2506,3,1.0,2002,1,2,71,10,2,10,12,,,,18.8496,302.6494599157252,153.14062671735692,6.0180462857,6.0180462857,6.0180462857,NIMS,2007-11-19 11:54:53,10661,FSTROFFE,290487,2022-04-18 09:41:31,,,,,2,,
224387061010661,145024863010661,2009,23,9,2014,2,1.0,2009,2,4,15,40,2,4,10,1,4,6,19.2,340.11863278615897,172.10002818979643,6.0180462857,6.0180462857,7.8007016244207525,BOCONNELL,2010-08-17 07:49:45,10661,FSTROFFE,290487,2022-04-18 09:41:31,,,,,2,,
216224571020004,247056522010661,2012,23,21,2231,4,1.0,,1,,,,,,,,,,,,,,,,BOCONNELL,2013-08-29 08:24:06,20004,FSTROFFE,290487,2022-04-18 09:42:43,26,1,0.0,18.5,3,316,45
216224572020004,247056522010661,2012,23,21,2231,4,1.0,,1,,,,,,,,,,,,,,,,BOCONNELL,2013-08-29 08:24:06,20004,FSTROFFE,290487,2022-04-18 09:42:43,25,1,0.0,20.1,3,375,225
513443997126144,375823661489998,2017,23,21,2231,4,1.0,,1,,,,,,,,,,,,,,,,FSTROFFE,2018-03-13 09:05:22,126144,FSTROFFE,290487,2022-04-18 09:42:43,1,4,6.6,19.0,3,999,45
513444110126144,375823662489998,2017,23,21,5354,3,1.0,,1,,,,,,,,,,,,,,,,FSTROFFE,2018-03-13 09:05:22,126144,FSTROFFE,290487,2022-04-18 09:42:42,2,2,10.4,24.0,3,318,315
639427204126144,451063815489998,2018,23,7,2721,3,1.0,,1,,,,,,,,,,,,,,,,FSTROFFE,2019-04-03 15:01:07,126144,FSTROFFE,290487,2022-04-18 09:42:43,2,1,6.9,16.1,3,746,135
639427205126144,451063815489998,2018,23,7,2721,3,2.0,,1,,,,,,,,,,,,,,,,FSTROFFE,2019-04-03 15:01:07,126144,FSTROFFE,290487,2022-04-18 09:42:43,1,1,21.2,24.0,3,12,135
740929224290487,509642627126144,2019,23,3,650,1,1.0,,1,,,,,,,,,,,,,,,,FSCJBARNETT,2020-04-14 14:20:41,290487,FSTROFFE,290487,2022-04-18 09:42:43,2,4,0.0,24.0,3,998,90
740929225290487,509642627126144,2019,23,3,650,1,1.0,,1,,,,,,,,,,,,,,,,FSCJBARNETT,2020-04-14 14:20:41,290487,FSTROFFE,290487,2022-04-18 09:42:43,2,4,0.0,24.0,3,998,270
1167694000290487,606237403126144,2020,23,19,369,3,1.0,,1,,,,,,,,,,,,,,,,FSTROFFE,2022-03-10 15:34:50,290487,FSTROFFE,290487,2022-04-18 09:42:43,7,1,1.5,18.1,3,261,315
1167684346290487,606237266126144,2020,23,29,638,1,1.0,,1,,,,,,,,,,,,,,,,FSTROFFE,2022-03-10 15:34:50,290487,FSTROFFE,290487,2022-04-18 09:42:43,2,3,17.3,24.0,3,743,270
1203382078290487,721819879290487,2021,23,3,60,2,1.0,,1,,,,,,,,,,,,,,,,FSTROFFE,2022-04-07 15:39:50,290487,FSTROFFE,290487,2022-04-18 09:42:43,7,1,1.0,24.0,3,12,360
1203389263290487,721819973290487,2021,23,25,1602,2,1.0,,1,,,,,,,,,,,,,,,,FSTROFFE,2022-04-07 15:39:50,290487,FSTROFFE,290487,2022-04-18 09:42:43,2,2,10.1,24.0,3,97,360
