CN,PLT_CN,INVYR,STATECD,COUNTYCD,PLOT,MEASDAY,MEASMON,MEASYEAR,QASTATCD,CRWTYPCD,SMPKNDCD,CREATED_BY,CREATED_DATE,CREATED_IN_INSTANCE,MODIFIED_BY,MODIFIED_DATE,MODIFIED_IN_INSTANCE,CWD_SAMPLE_METHOD,FWD_SAMPLE_METHOD,MICR_SAMPLE_METHOD,DLF_SAMPLE_METHOD,PILE_SAMPLE_METHOD,DWM_SAMPLING_STATUS_CD,DWM_NBR_SUBP,DWM_NBR_SUBP_TRANSECT,DWM_SUBPLIST,DWM_TRANSECT_LENGTH,QA_STATUS
76450408010538,52897379010538,2001,23,1,1732,2,7,2001,1,1,1,NIMS,2007-11-19 00:00:00,10661,FSTROFFE,2022-04-18 09:41:21,290487,9,1,1,1,2,,,,,,1
76450435010538,52866061010538,2001,23,3,60,7,8,2001,1,1,1,NIMS,2007-11-19 00:00:00,10661,FSTROFFE,2022-04-18 09:41:22,290487,9,1,1,1,2,,,,,,1
76450425010538,52866384010538,2001,23,3,67,17,7,2001,1,1,1,NIMS,2007-11-19 00:00:00,10661,FSTROFFE,2022-04-18 09:41:22,290487,9,1,1,1,2,,,,,,1
76450434010538,52863327010538,2001,23,3,647,14,8,2001,1,1,1,NIMS,2007-11-19 00:00:00,10661,FSTROFFE,2022-04-18 09:41:22,290487,9,1,1,1,2,,,,,,1
76450428010538,52866435010538,2001,23,3,941,26,6,2001,1,1,1,NIMS,2007-11-19 00:00:00,10661,FSTROFFE,2022-04-18 09:41:23,290487,9,1,1,1,2,,,,,,1
76450430010538,52865805010538,2001,23,3,958,19,7,2001,1,1,1,NIMS,2007-11-19 00:00:00,10661,FSTROFFE,2022-04-18 09:41:23,290487,9,1,1,1,2,,,,,,1
76450427010538,52898510010538,2001,23,3,1392,9,8,2001,1,1,1,NIMS,2007-11-19 00:00:00,10661,FSTROFFE,2022-04-18 09:41:23,290487,9,1,1,1,2,,,,,,1
76450436010538,52897435010538,2001,23,3,1418,8,8,2001,1,1,1,NIMS,2007-11-19 00:00:00,10661,FSTROFFE,2022-04-18 09:41:23,290487,9,1,1,1,2,,,,,,1
76450429010538,52865942010538,2001,23,3,1878,23,7,2001,1,1,1,NIMS,2007-11-19 00:00:00,10661,FSTROFFE,2022-04-18 09:41:23,290487,9,1,1,1,2,,,,,,1
76450417010538,52866238010538,2001,23,3,1943,18,7,2001,1,1,1,NIMS,2007-11-19 00:00:00,10661,FSTROFFE,2022-04-18 09:41:23,290487,9,1,1,1,2,,,,,,1
76450422010538,52872968010538,2001,23,7,1008,13,9,2001,1,1,1,NIMS,2007-11-19 00:00:00,10661,FSTROFFE,2022-04-18 09:41:23,290487,9,1,1,1,2,,,,,,1
76450411010538,52872861010538,2001,23,7,1144,13,8,2001,1,1,1,NIMS,2007-11-19 00:00:00,10661,FSTROFFE,2022-04-18 09:41:23,290487,9,1,1,1,2,,,,,,1
76450410010538,52869464010538,2001,23,7,1942,14,8,2001,1,1,1,NIMS,2007-11-19 00:00:00,10661,FSTROFFE,2022-04-18 09:41:21,290487,9,1,1,1,2,,,,,,1
76450399010538,52877779010538,2001,23,9,1569,28,6,2001,1,1,1,NIMS,2007-11-19 00:00:00,10661,FSTROFFE,2022-04-18 09:41:23,290487,9,1,1,1,2,,,,,,1
76450400010538,52875595010538,2001,23,9,1720,15,8,2001,1,1,1,NIMS,2007-11-19 00:00:00,10661,FSTROFFE,2022-04-18 09:41:23,290487,9,1,1,1,2,,,,,,1
76450401010538,52877916010538,2001,23,9,1769,24,7,2001,1,1,1,NIMS,2007-11-19 00:00:00,10661,FSTROFFE,2022-04-18 09:41:21,290487,9,1,1,1,2,,,,,,1
76450406010538,52878929010538,2001,23,11,1443,9,7,2001,1,1,1,NIMS,2007-11-19 00:00:00,10661,FSTROFFE,2022-04-18 09:41:23,290487,9,1,1,1,2,,,,,,1
76450404010538,52880780010538,2001,23,13,526,1,8,2001,1,1,1,NIMS,2007-11-19 00:00:00,10661,FSTROFFE,2022-04-18 09:41:23,290487,9,1,1,1,2,,,,,,1
76450403010538,52882011010538,2001,23,15,1901,11,7,2001,1,1,1,NIMS,2007-11-19 00:00:00,10661,FSTROFFE,2022-04-18 09:41:23,290487,9,1,1,1,2,,,,,,1
76450409010538,52886981010538,2001,23,17,731,31,7,2001,1,1,1,NIMS,2007-11-19 00:00:00,10661,FSTROFFE,2022-04-18 09:41:22,290487,9,1,1,1,2,,,,,,1
76450412010538,52887146010538,2001,23,17,1630,30,7,2001,1,1,1,NIMS,2007-11-19 00:00:00,10661,FSTROFFE,2022-04-18 09:41:31,290487,9,1,1,1,2,,,,,,1
76450415010538,52910028010538,2001,23,19,277,25,6,2001,1,1,1,NIMS,2007-11-19 00:00:00,10661,FSTROFFE,2022-04-18 09:41:22,290487,9,1,1,1,2,,,,,,1
76450402010538,52896389010538,2001,23,19,329,17,6,2001,1,1,1,NIMS,2007-11-19 00:00:00,10661,FSTROFFE,2022-04-18 09:41:23,290487,9,1,1,1,2,,,,,,1
76450418010538,52892334010538,2001,23,19,440,15,8,2001,1,1,1,NIMS,2007-11-19 00:00:00,10661,FSTROFFE,2022-04-18 09:41:23,290487,9,1,1,1,2,,,,,,1
76450416010538,52892868010538,2001,23,19,759,5,9,2001,1,1,1,NIMS,2007-11-19 00:00:00,10661,FSTROFFE,2022-04-18 09:41:22,290487,9,1,1,1,2,,,,,,1
76450426010538,52909880010538,2001,23,19,1145,21,6,2001,1,1,1,NIMS,2007-11-19 00:00:00,10661,FSTROFFE,2022-04-18 09:41:23,290487,9,1,1,1,2,,,,,,1
76450431010538,52922003010538,2001,23,21,123,25,7,2001,1,1,1,NIMS,2007-11-19 00:00:00,10661,FSTROFFE,2022-04-18 09:41:31,290487,9,1,1,1,2,,,,,,1
76450433010538,52921695010538,2001,23,21,278,29,8,2001,1,1,1,NIMS,2007-11-19 00:00:00,10661,FSTROFFE,2022-04-18 09:41:22,290487,9,1,1,1,2,,,,,,1
76450421010538,52922083010538,2001,23,21,1080,17,7,2001,1,1,1,NIMS,2007-11-19 00:00:00,10661,FSTROFFE,2022-04-18 09:41:22,290487,9,1,1,1,2,,,,,,1
76450419010538,52921847010538,2001,23,21,1193,16,7,2001,1,1,1,NIMS,2007-11-19 00:00:00,10661,FSTROFFE,2022-04-18 09:41:23,290487,9,1,1,1,2,,,,,,1
76450407010538,52933107010538,2001,23,25,767,12,7,2001,1,1,1,NIMS,2007-11-19 00:00:00,10661,FSTROFFE,2022-04-18 09:41:22,290487,9,1,1,1,2,,,,,,1
76450420010538,52932732010538,2001,23,25,810,19,7,2001,1,1,1,NIMS,2007-11-19 00:00:00,10661,FSTROFFE,2022-04-18 09:41:23,290487,9,1,1,1,2,,,,,,1
76450423010538,52924806010538,2001,23,25,1207,26,7,2001,1,1,1,NIMS,2007-11-19 00:00:00,10661,FSTROFFE,2022-04-18 09:41:31,290487,9,1,1,1,2,,,,,,1
76450432010538,52932937010538,2001,23,25,1439,23,7,2001,1,1,1,NIMS,2007-11-19 00:00:00,10661,FSTROFFE,2022-04-18 09:41:21,290487,9,1,1,1,2,,,,,,1
76450424010538,52932795010538,2001,23,25,1505,18,7,2001,1,1,1,NIMS,2007-11-19 00:00:00,10661,FSTROFFE,2022-04-18 09:41:23,290487,9,1,1,1,2,,,,,,1
76450405010538,52935355010538,2001,23,27,1847,27,6,2001,1,1,1,NIMS,2007-11-19 00:00:00,10661,FSTROFFE,2022-04-18 09:41:22,290487,9,1,1,1,2,,,,,,1
76450398010538,52942606010538,2001,23,29,142,3,7,2001,1,1,1,NIMS,2007-11-19 00:00:00,10661,FSTROFFE,2022-04-18 09:41:21,290487,9,1,1,1,2,,,,,,1
76450413010538,52937079010538,2001,23,29,675,23,8,2001,1,1,1,NIMS,2007-11-19 00:00:00,10661,FSTROFFE,2022-04-18 09:41:23,290487,9,1,1,1,2,,,,,,1
76450414010538,52942496010538,2001,23,29,1327,5,7,2001,1,1,1,NIMS,2007-11-19 00:00:00,10661,FSTROFFE,2022-04-18 09:41:21,290487,9,1,1,1,2,,,,,,1
76450397010538,52945179010538,2001,23,31,653,10,7,2001,1,1,1,NIMS,2007-11-19 00:00:00,10661,FSTROFFE,2022-04-18 09:41:23,290487,9,1,1,1,2,,,,,,1
76450925010538,53000158010538,2002,23,3,2043,26,6,2002,1,1,1,NIMS,2007-11-19 00:00:00,10661,FSTROFFE,2022-04-18 09:41:21,290487,1,2,1,2,2,,,,,,1
76450920010538,53000483010538,2002,23,3,2074,24,7,2002,1,1,1,NIMS,2007-11-19 00:00:00,10661,FSTROFFE,2022-04-18 09:41:23,290487,1,2,1,2,2,,,,,,1
76450948010538,52999858010538,2002,23,3,2082,17,7,2002,1,1,1,NIMS,2007-11-19 00:00:00,10661,FSTROFFE,2022-04-18 09:41:23,290487,1,2,1,2,2,,,,,,1
76450947010538,53000720010538,2002,23,3,2088,30,7,2002,1,1,1,NIMS,2007-11-19 00:00:00,10661,FSTROFFE,2022-04-18 09:41:22,290487,1,2,1,2,2,,,,,,1
76450924010538,53000054010538,2002,23,3,2133,16,7,2002,1,1,1,NIMS,2007-11-19 00:00:00,10661,FSTROFFE,2022-04-18 09:41:23,290487,1,2,1,2,2,,,,,,1
76450949010538,53000765010538,2002,23,3,2165,26,6,2002,1,1,1,NIMS,2007-11-19 00:00:00,10661,FSTROFFE,2022-04-18 09:41:22,290487,1,2,1,2,2,,,,,,1
76450921010538,52996440010538,2002,23,3,2174,18,7,2002,1,1,1,NIMS,2007-11-19 00:00:00,10661,FSTROFFE,2022-04-18 09:41:22,290487,1,2,1,2,2,,,,,,1
76450888010538,53000302010538,2002,23,3,2468,25,7,2002,1,1,1,NIMS,2007-11-19 00:00:00,10661,FSTROFFE,2022-04-18 09:41:23,290487,1,2,1,2,2,,,,,,1
76450917010538,53000396010538,2002,23,3,2493,28,6,2002,1,1,1,NIMS,2007-11-19 00:00:00,10661,FSTROFFE,2022-04-18 09:41:23,290487,1,2,1,2,2,,,,,,1
76450804010538,53002551010538,2002,23,5,2469,27,8,2002,1,1,1,NIMS,2007-11-19 00:00:00,10661,FSTROFFE,2022-04-18 09:41:22,290487,1,2,1,2,2,,,,,,1
42725254020004,53002672010538,2002,23,5,2568,1,6,2002,1,,1,ANL_NRS_FIA_DATA_PROCESSING,2012-06-06 07:02:26,20004,FSTROFFE,2022-04-18 09:41:22,290487,1,2,1,2,2,,,,,,1
42725150020004,53007438010538,2002,23,7,2311,1,6,2002,1,,1,ANL_NRS_FIA_DATA_PROCESSING,2012-06-06 07:02:26,20004,FSTROFFE,2022-04-18 09:41:21,290487,1,2,1,2,2,,,,,,1
76450894010538,53007457010538,2002,23,7,2506,17,7,2002,1,1,1,NIMS,2007-11-19 00:00:00,10661,FSTROFFE,2022-04-18 09:41:31,290487,1,2,1,2,2,,,,,,1
76450841010538,53011621010538,2002,23,9,22,5,8,2002,1,1,1,NIMS,2007-11-19 00:00:00,10661,FSTROFFE,2022-04-18 09:41:23,290487,1,2,1,2,2,,,,,,1
76450844010538,53011815010538,2002,23,9,2296,20,6,2002,1,1,1,NIMS,2007-11-19 00:00:00,10661,FSTROFFE,2022-04-18 09:41:21,290487,1,2,1,2,2,,,,,,1
76450842010538,53007770010538,2002,23,9,2648,18,9,2002,1,1,1,NIMS,2007-11-19 00:00:00,10661,FSTROFFE,2022-04-18 09:41:21,290487,1,2,1,2,2,,,,,,1
76450846010538,53013416010538,2002,23,11,2213,2,7,2002,1,1,1,NIMS,2007-11-19 00:00:00,10661,FSTROFFE,2022-04-18 09:41:23,290487,1,2,1,2,2,,,,,,1
76450845010538,53014046010538,2002,23,13,2335,10,7,2002,1,1,1,NIMS,2007-11-19 00:00:00,10661,FSTROFFE,2022-04-18 09:41:22,290487,1,2,1,2,2,,,,,,1
76450849010538,53020680010538,2002,23,17,2057,5,9,2002,1,1,1,NIMS,2007-11-19 00:00:00,10661,FSTROFFE,2022-04-18 09:41:23,290487,1,2,1,2,2,,,,,,1
76450850010538,53017886010538,2002,23,17,2139,16,7,2002,1,1,1,NIMS,2007-11-19 00:00:00,10661,FSTROFFE,2022-04-18 09:41:22,290487,1,2,1,2,2,,,,,,1
76450895010538,53017735010538,2002,23,17,2415,26,8,2002,1,1,1,NIMS,2007-11-19 00:00:00,10661,FSTROFFE,2022-04-18 09:41:23,290487,1,2,1,2,2,,,,,,1
76450887010538,53029181010538,2002,23,19,2196,22,7,2002,1,1,1,NIMS,2007-11-19 00:00:00,10661,FSTROFFE,2022-04-18 09:41:23,290487,1,2,1,2,2,,,,,,1
76450886010538,53030776010538,2002,23,19,2300,1,8,2002,1,1,1,NIMS,2007-11-19 00:00:00,10661,FSTROFFE,2022-04-18 09:41:23,290487,1,2,1,2,2,,,,,,1
223615803010661,52980758010538,2002,23,19,2419,23,7,2002,1,1,1,BOCONNELL,2010-04-05 11:34:31,10661,FSTROFFE,2022-04-18 09:41:22,290487,1,2,1,2,2,,,,,,1
76450919010538,53030907010538,2002,23,19,2566,31,7,2002,1,1,1,NIMS,2007-11-19 00:00:00,10661,FSTROFFE,2022-04-18 09:41:23,290487,1,2,1,2,2,,,,,,1
76450918010538,53030207010538,2002,23,19,2613,7,8,2002,1,1,1,NIMS,2007-11-19 00:00:00,10661,FSTROFFE,2022-04-18 09:41:22,290487,1,2,1,2,2,,,,,,1
76450889010538,53031098010538,2002,23,19,2614,25,7,2002,1,1,1,NIMS,2007-11-19 00:00:00,10661,FSTROFFE,2022-04-18 09:41:23,290487,1,2,1,2,2,,,,,,1
76450922010538,52957873010538,2002,23,21,2046,28,8,2002,1,1,1,NIMS,2007-11-19 00:00:00,10661,FSTROFFE,2022-04-18 09:41:23,290487,1,2,1,2,2,,,,,,1
76450891010538,52957720010538,2002,23,21,2264,1,8,2002,1,1,1,NIMS,2007-11-19 00:00:00,10661,FSTROFFE,2022-04-18 09:41:22,290487,1,2,1,2,2,,,,,,1
42725163020004,52957856010538,2002,23,21,2309,1,6,2002,1,,1,ANL_NRS_FIA_DATA_PROCESSING,2012-06-06 07:02:26,20004,FSTROFFE,2022-04-18 09:41:22,290487,1,2,1,2,2,,,,,,1
76450801010538,52958453010538,2002,23,23,2529,13,8,2002,1,1,1,NIMS,2007-11-19 00:00:00,10661,FSTROFFE,2022-04-18 09:41:21,290487,1,2,1,2,2,,,,,,1
76450926010538,52968534010538,2002,23,25,2195,19,8,2002,1,1,1,NIMS,2007-11-19 00:00:00,10661,FSTROFFE,2022-04-18 09:41:22,290487,1,2,1,2,2,,,,,,1
76450893010538,52968692010538,2002,23,25,2275,29,7,2002,1,1,1,NIMS,2007-11-19 00:00:00,10661,FSTROFFE,2022-04-18 09:41:22,290487,1,2,1,2,2,,,,,,1
76450892010538,52965330010538,2002,23,25,2334,14,8,2002,1,1,1,NIMS,2007-11-19 00:00:00,10661,FSTROFFE,2022-04-18 09:41:23,290487,1,2,1,2,2,,,,,,1
76450890010538,52968871010538,2002,23,25,2343,23,7,2002,1,1,1,NIMS,2007-11-19 00:00:00,10661,FSTROFFE,2022-04-18 09:41:22,290487,1,2,1,2,2,,,,,,1
76450848010538,52964755010538,2002,23,25,2501,15,8,2002,1,1,1,NIMS,2007-11-19 00:00:00,10661,FSTROFFE,2022-04-18 09:41:22,290487,1,2,1,2,2,,,,,,1
76450896010538,52968760010538,2002,23,25,2591,12,8,2002,1,1,1,NIMS,2007-11-19 00:00:00,10661,FSTROFFE,2022-04-18 09:41:23,290487,1,2,1,2,2,,,,,,1
